L,area_fraction_target,threshold_p_any,observed_area_fraction
1000,0.001,0.0011249772130277,0.001875
1000,0.01,0.0002728627503501,0.013125
1000,0.1,3.889097398679375e-06,0.106875
1000,0.5,1.6041105110886631e-09,0.5125
1000000,0.001,0.6755457923386355,0.001875
1000000,0.01,0.2388311048843997,0.010625
1000000,0.1,0.0038815521915882,0.106875
1000000,0.5,1.6041092063545648e-06,0.5125
100000000,0.001,1.0,0.009375
100000000,0.01,0.999999999998594,0.013125
100000000,0.1,0.3222050993819791,0.105625
100000000,0.5,0.0001603981841337,0.5125
